etapa,tipo_ocorrencia,rotulo_ocorrencia,severidade,linha_indice,COLETA,UC,EA,UA,CICLO,CAMPANHA,ANO,Data (data_hora),PROTOCOLO,num_placa_formatado,ponto_amostral,ponto_metro,Encostam,campo_superior,token_problematico,campo_forma_vida_esperado,valor_forma_vida_atual,campos_dependentes_preenchidos,acao_recomendada
pre_painel,nativa_sem_forma_vida,Nativa sem forma de vida,impeditiva,1,SINTETICO-001,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-001,,1,0,nativa,amostragem/registro/tipo_forma_vida,nativa,amostragem/registro/forma_vida_nativa,"",amostragem/registro/forma_vida_nativa_arvore_abaixo = 1,"Conferir a planilha original. Se a forma de vida constar na planilha, preencher o campo inferior correspondente; se não foi registrada em campo, excluir a COLETA."
pre_painel,nativa_sem_forma_vida,Nativa sem forma de vida,impeditiva,2,SINTETICO-002,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-002,,2,10,nativa,amostragem/registro/tipo_forma_vida,nativa,amostragem/registro/forma_vida_nativa,"","","Conferir a planilha original. Se a forma de vida constar na planilha, preencher o campo inferior correspondente; se não foi registrada em campo, excluir a COLETA."
pre_painel,nativa_sem_forma_vida,Nativa sem forma de vida,impeditiva,3,SINTETICO-003,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-003,,1,20,nativa,amostragem/registro/tipo_forma_vida,nativa,amostragem/registro/forma_vida_nativa,"",amostragem/registro/forma_vida_nativa_arvore_abaixo = 1,"Conferir a planilha original. Se a forma de vida constar na planilha, preencher o campo inferior correspondente; se não foi registrada em campo, excluir a COLETA."
pre_painel,nativa_sem_forma_vida,Nativa sem forma de vida,impeditiva,4,SINTETICO-004,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-004,,2,0,nativa,amostragem/registro/tipo_forma_vida,nativa,amostragem/registro/forma_vida_nativa,"","","Conferir a planilha original. Se a forma de vida constar na planilha, preencher o campo inferior correspondente; se não foi registrada em campo, excluir a COLETA."
pre_painel,nativa_sem_forma_vida,Nativa sem forma de vida,impeditiva,5,SINTETICO-005,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-005,,1,10,nativa,amostragem/registro/tipo_forma_vida,nativa,amostragem/registro/forma_vida_nativa,"",amostragem/registro/forma_vida_nativa_arvore_abaixo = 1,"Conferir a planilha original. Se a forma de vida constar na planilha, preencher o campo inferior correspondente; se não foi registrada em campo, excluir a COLETA."
pre_painel,nativa_sem_forma_vida,Nativa sem forma de vida,impeditiva,6,SINTETICO-006,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-006,,2,20,nativa,amostragem/registro/tipo_forma_vida,nativa,amostragem/registro/forma_vida_nativa,"","","Conferir a planilha original. Se a forma de vida constar na planilha, preencher o campo inferior correspondente; se não foi registrada em campo, excluir a COLETA."
pre_painel,uas_duplicadas_mesmo_ano,UAs duplicadas no mesmo ano,impeditiva,1,SINTETICO-001,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-001,,1,0,nativa,amostragem/registro/tipo_forma_vida,UC+UA+ANO,UC+UA+ANO+COLETA,"","","Resolver no painel por exclusão de COLETA excedente, correção de UA/ANO quando houver erro documental ou outra modificação auditável."
pre_painel,uas_duplicadas_mesmo_ano,UAs duplicadas no mesmo ano,impeditiva,2,SINTETICO-002,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-002,,2,10,nativa,amostragem/registro/tipo_forma_vida,UC+UA+ANO,UC+UA+ANO+COLETA,"","","Resolver no painel por exclusão de COLETA excedente, correção de UA/ANO quando houver erro documental ou outra modificação auditável."
pre_painel,uas_duplicadas_mesmo_ano,UAs duplicadas no mesmo ano,impeditiva,3,SINTETICO-003,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-003,,1,20,nativa,amostragem/registro/tipo_forma_vida,UC+UA+ANO,UC+UA+ANO+COLETA,"","","Resolver no painel por exclusão de COLETA excedente, correção de UA/ANO quando houver erro documental ou outra modificação auditável."
pre_painel,uas_duplicadas_mesmo_ano,UAs duplicadas no mesmo ano,impeditiva,4,SINTETICO-004,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-004,,2,0,nativa,amostragem/registro/tipo_forma_vida,UC+UA+ANO,UC+UA+ANO+COLETA,"","","Resolver no painel por exclusão de COLETA excedente, correção de UA/ANO quando houver erro documental ou outra modificação auditável."
pre_painel,uas_duplicadas_mesmo_ano,UAs duplicadas no mesmo ano,impeditiva,5,SINTETICO-005,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-005,,1,10,nativa,amostragem/registro/tipo_forma_vida,UC+UA+ANO,UC+UA+ANO+COLETA,"","","Resolver no painel por exclusão de COLETA excedente, correção de UA/ANO quando houver erro documental ou outra modificação auditável."
pre_painel,uas_duplicadas_mesmo_ano,UAs duplicadas no mesmo ano,impeditiva,6,SINTETICO-006,UC_SINTETICA,EA_SINTETICA,UA_SINTETICA,1,CAMPANHA_SINTETICA,2026,,PROTOCOLO-SINT-006,,2,20,nativa,amostragem/registro/tipo_forma_vida,UC+UA+ANO,UC+UA+ANO+COLETA,"","","Resolver no painel por exclusão de COLETA excedente, correção de UA/ANO quando houver erro documental ou outra modificação auditável."
